feature,importance
submission_speed,0.003683
log_normative,0.003378
region_enc,0.002532
region_application_count,0.002456
district_application_count,0.001664
month_application_count,0.001599
subsidy_category_enc,0.001239
district_enc,0.000955
day_of_month,0.000906
log_amount,0.000366
log_estimated_units,0.000366
amount_vs_regional_median,0.000366
amount_vs_category_median,0.00036
hour,0.000311
day_of_week,0.000136
is_weekday,7.1e-05
month,5e-06
is_large_request,0.0
quarter,0.0
direction_enc,-4.9e-05
is_working_hours,-7.1e-05
is_early_submission,-8.7e-05
normative_amount_ratio,-0.000104
